Title,URL,Author,Date,Playbacks,Flash_comments,Duration,date_of_scraping
疑似最新姜萍视频流出！决赛后可能已回学校!正常读书，大老板也来了，狂送姜萍父亲五千块钱和两头大铁牛！,https://www.bilibili.com/video/BV1GJ4m1u7BJ/,综艺娱乐官方,· 6-25,14.3万,0,01:36,2024/06/26
姜萍采访对比去年参加阿里数竞快递小哥采访,https://www.bilibili.com/video/BV1Z4421Q7w6/,不想取名字囸,· 6-20,6.9万,134,08:26,2024/06/26
E421 姜萍事件反转了？昨天支持，今天道歉，大聪明文科生丢人现眼为哪般？流量为王时代，四类人的不同出发点都是什么,https://www.bilibili.com/video/BV19T421e7kT/,戎震,· 6-22,206.2万,693,15:39,2024/06/26
当姜萍在PS吧被变好看之后,https://www.bilibili.com/video/BV1nE421N7rP/,分享一些有趣的事物,· 6-23,24万,50,00:45,2024/06/26
为什么复旦大学教授评价姜萍latex熟练就会引发巨大争议？,https://www.bilibili.com/video/BV1TW421R7w7/,考研数学杰哥,· 6-21,37.2万,297,03:02,2024/06/26
【冷静到冰点的视频解析】老王从视频角度来谈谈姜萍同学的纪录片,https://www.bilibili.com/video/BV11J4m1u7LA/,布拉德老王,· 3小时前,594,0,35:01,2024/06/26
从达摩院过几天的态度其实就可以判断出姜萍的真实水平是什么。,https://www.bilibili.com/video/BV1Kd37eUEeJ/,抠脚大汉一一老马,· 6-25,1.8万,3,02:10,2024/06/26
姜萍新纪录片（网友：【凤凰网】都发了，这下不得不信了！）,https://www.bilibili.com/video/BV1A83ceaEd5/,沐籁丶,· 昨天,3.1万,83,02:39,2024/06/26
当姜萍在PS吧被变好看之后,https://www.bilibili.com/video/BV1nE421N7rP/,分享一些有趣的事物,· 6-23,24万,50,00:45,2024/06/26
为什么复旦大学教授评价姜萍latex熟练就会引发巨大争议？,https://www.bilibili.com/video/BV1TW421R7w7/,考研数学杰哥,· 6-21,37.2万,297,03:02,2024/06/26
【冷静到冰点的视频解析】老王从视频角度来谈谈姜萍同学的纪录片,https://www.bilibili.com/video/BV11J4m1u7LA/,布拉德老王,· 3小时前,594,0,35:01,2024/06/26
从达摩院过几天的态度其实就可以判断出姜萍的真实水平是什么。,https://www.bilibili.com/video/BV1Kd37eUEeJ/,抠脚大汉一一老马,· 6-25,1.8万,3,02:10,2024/06/26
姜萍新纪录片（网友：【凤凰网】都发了，这下不得不信了！）,https://www.bilibili.com/video/BV1A83ceaEd5/,沐籁丶,· 昨天,3.1万,83,02:39,2024/06/26
