Title,URL,Author,Date,Playbacks,Flash_comments,Duration
让人破防的不是姜萍，而是为她破格的可能性,https://www.bilibili.com/video/BV1ry411q717/,有轶见的Kris,· 11小时前,7万,751,16:10,2024/06/26
真正的天才快递员孙金元和姜萍采访对比，,https://www.bilibili.com/video/BV1bZ421M7Uf/,娱乐前线突击,· 6-21,3278,1,05:41,2024/06/26
石锤！！姜萍是天才！！姜萍父亲透露女儿轻松答卷，赵斌发文道歉了！！！,https://www.bilibili.com/video/BV1Q4421Q7X4/,综艺娱乐官方,· 13小时前,10.2万,0,01:37,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Ji421e7Fr/,娱乐前线突击,· 2分钟前,16,0,08:45,2024/06/26
姜萍真相事件已出! 熟人爆料言论成最好证明，官媒亲自下场回应!,https://www.bilibili.com/video/BV16S421d7YL/,娱乐万花筒呀,· 1小时前,2808,2,01:56,2024/06/26
【AI东雪莲】仿生人莲宝能在阿里巴巴数学竞赛上碰瓷天才少女姜萍吗？,https://www.bilibili.com/video/BV1Xf421B73s/,Perpetual-,· 25分钟前,248,0,04:55,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Ji421e7Fr/,娱乐前线突击,· 2分钟前,16,0,08:45,2024/06/26
姜萍真相事件已出! 熟人爆料言论成最好证明，官媒亲自下场回应!,https://www.bilibili.com/video/BV16S421d7YL/,娱乐万花筒呀,· 1小时前,2808,2,01:56,2024/06/26
【AI东雪莲】仿生人莲宝能在阿里巴巴数学竞赛上碰瓷天才少女姜萍吗？,https://www.bilibili.com/video/BV1Xf421B73s/,Perpetual-,· 26分钟前,248,0,04:55,2024/06/26
为什么很多人只抓着姜萍和她的「中专学历」不放，却不把斗争矛头指向赛事举办方？,https://www.bilibili.com/video/BV18T421a712/,高赞问答君,· 1小时前,47,0,02:25,2024/06/26
姜萍参赛，高考制度,https://www.bilibili.com/video/BV16i421e763/,崛起之路新号,· 1小时前,453,1,03:57,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV19E421P7TD/,是绅士汤呀,· 39分钟前,1668,0,10:45,2024/06/26
姜萍事件绝杀无解！官方公众号直接背刺姜萍老师！彻底坐实海量聊天记录真实性！,https://www.bilibili.com/video/BV1dm42137Vo/,最新速报,· 6-21,13.8万,7,01:04,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1KM4m1U7r1/,娱乐前线突击,· 2小时前,495,0,08:42,2024/06/26
姜萍哭了! 赵斌放话了考好给500万! 顶着许多数学大佬纷纷质疑声逆流而上参加阿里决赛，考不好又要遭受新的一轮拷问!,https://www.bilibili.com/video/BV1HJ4m1u7xV/,娱乐万花筒呀,· 6-23,10.5万,46,02:31,2024/06/26
【姜萍事件】，已有正义之光去12339跟12345举报投诉了！真象即将大白？,https://www.bilibili.com/video/BV15m421G7tJ/,热门追踪后续,· 6小时前,6008,2,02:31,2024/06/26
为什么凤凰网要在今天发布姜萍纪录片?,https://www.bilibili.com/video/BV1nb421p7gB/,是绅士汤呀,· 昨天,2.5万,4,01:35,2024/06/26
姜萍事件的总结#姜萍#阿里数赛#数学#教育#高考,https://www.bilibili.com/video/BV1Xy411q7nH/,alex包老师,· 2小时前,1149,7,05:01,2024/06/26
自称姜萍朋友，问姜萍真相了,https://www.bilibili.com/video/BV1Fz421z74K/,唯物史者1,· 6-22,1.6万,7,01:03:44,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1es421T7d4/,甄机坊,· 4小时前,4.9万,7,08:21,2024/06/26
经典老番：姜萍父亲狂收五千块钱加两头大铁牛！后面忍俊不禁！,https://www.bilibili.com/video/BV1b4421S7bi/,最新速报,· 9小时前,1.7万,44,02:31,2024/06/26
“姜萍”的反转人生,https://www.bilibili.com/video/BV1jy411z7LV/,暴叔讲留学,· 6-21,117.6万,960,01:30,2024/06/26
姜萍面相分析,https://www.bilibili.com/video/BV1dZ421M7MY/,风水命理吕元嘉,· 6-16,22.3万,845,22:33,2024/06/26
揭秘姜萍真假之谜，剑指组局者阿里巴巴有意掀起滔天巨浪？,https://www.bilibili.com/video/BV1os421T7Rd/,罗欧真人,· 2小时前,211,0,09:25,2024/06/26
“质疑姜萍可以，但别太过分了”！金灿荣、司马南：我相信姜萍！,https://www.bilibili.com/video/BV1tS411N7vm/,G度,· 6-21,4.1万,86,04:30,2024/06/26
石锤！！姜萍是天才！！姜萍父亲透露女儿轻松答卷，赵斌发文道歉了！！！,https://www.bilibili.com/video/BV1o1421C72A/,综艺娱乐官方,· 2小时前,4297,0,01:40,2024/06/26
姜萍采访对比去年参加阿里数竞快递小哥采访,https://www.bilibili.com/video/BV1Z4421Q7w6/,不想取名字囸,· 6-20,6.9万,131,08:26,2024/06/26
阿里员工在大卫哥直播间对姜萍事件的看法,https://www.bilibili.com/video/BV1Ri421e7v8/,原神李太冲,· 6-20,10.3万,135,05:30,2024/06/26
妄想通过主=6抹黑姜萍  天才之路或无痕迹，成圣蹊径已现端倪,https://www.bilibili.com/video/BV1vJ4m1u7Qy/,专一帝73748,· 1小时前,1234,1,03:12,2024/06/26
E421 姜萍事件反转了？昨天支持，今天道歉，大聪明文科生丢人现眼为哪般？流量为王时代，四类人的不同出发点都是什么,https://www.bilibili.com/video/BV19T421e7kT/,戎震,· 6-22,204.8万,686,15:39,2024/06/26
达摩院终于回应了！首席数学家出来作证了！！姜萍是真的有实力！！-,https://www.bilibili.com/video/BV1Zf421B7XR/,娱乐前线突击,· 11小时前,1.6万,1,01:21,2024/06/26
姜萍采访，但是只有语气词,https://www.bilibili.com/video/BV1Ly411q75S/,葛洛卡大主教,· 6-19,15.5万,70,00:35,2024/06/26
杂谈：从mbti的角度谈谈姜萍事件的支持者和质疑者,https://www.bilibili.com/video/BV1Jz42187E7/,球菜器材多,· 2小时前,55,0,10:52,2024/06/26
今天驱车到江苏涟水送打印机，听村里面人说，决赛提早35分钟交卷，但是也都做完了，从预赛结果出来到现在都未归家， #姜萍 #阿里巴巴数学竞赛 #涟水中等专业学校,https://www.bilibili.com/video/BV1jT421a7sf/,旺仔打印机,· 1小时前,577,0,02:02,2024/06/26
凤凰网力挺姜萍，最后一个镜头绝了,https://www.bilibili.com/video/BV1vs421T7Ex/,藤椒泡泡水,· 23小时前,4.9万,21,01:22,2024/06/26
