Title,URL,Author,Date,Playbacks,Flash_comments,Duration
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1D1421r7n2/,甄机坊,· 4小时前,2万,4,08:21,2024/06/26
上交大邀请姜萍讲题被支持者骂,https://www.bilibili.com/video/BV1R4421Q7SY/,资深de魔法师,· 6-24,1.5万,5,01:29,2024/06/26
央视采访姜萍的评论区下，出现一边倒的形势，罕见啊！,https://www.bilibili.com/video/BV1JJ4m1T7wv/,时事速报,· 6-23,5.9万,6,01:30,2024/06/26
姜萍事件如果是假的，对数学届可能是毁灭性打击,https://www.bilibili.com/video/BV1zr421F7X9/,是绅士汤呀,· 6-23,4万,23,02:27,2024/06/26
清华数学系博士称赞姜萍,https://www.bilibili.com/video/BV1fT421a7oJ/,西部决策D视频,· 6-17,34.4万,46,00:32,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1D1421r7n2/,甄机坊,· 4小时前,2万,4,08:21,2024/06/26
上交大邀请姜萍讲题被支持者骂,https://www.bilibili.com/video/BV1R4421Q7SY/,资深de魔法师,· 6-24,1.5万,5,01:29,2024/06/26
决赛后网上对姜萍的评价如何？,https://www.bilibili.com/video/BV1XE421P7pM/,娱乐前线突击,· 3小时前,469,0,01:55,2024/06/26
央视采访姜萍的评论区下，出现一边倒的形势，罕见啊！,https://www.bilibili.com/video/BV1JJ4m1T7wv/,时事速报,· 6-23,5.9万,6,01:30,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1ww4m1e7hr/,综艺娱乐官方,· 3小时前,533,0,14:05,2024/06/26
韩国人讨论中国17岁数学天才女生姜萍：我们也要培养这样的学生！,https://www.bilibili.com/video/BV1nZ421M7QA/,星辰看世界,· 6-20,6463,2,01:51,2024/06/26
救命!姜萍影响太大，已有家长送孩子去中专读书，,https://www.bilibili.com/video/BV1Ey411z7to/,是绅士汤呀,· 昨天,5313,1,00:47,2024/06/26
巧妙证明姜萍恒等式（主=6）,https://www.bilibili.com/video/BV1Zb421H7Bu/,糖豆王国唯一的小熊猫,· 6-22,20.5万,294,01:12,2024/06/26
中专姜萍事件发生逆天反转？假的？,https://www.bilibili.com/video/BV1S4421S7uw/,超大型纪录片,· 6-18,9.8万,7,02:23,2024/06/26
代入姜萍真的很恐怖！ #姜萍 #奇葩 #离谱 #恐怖,https://www.bilibili.com/video/BV1i4421Q7y3/,嘻嘻大王か,· 6-21,13.6万,72,00:37,2024/06/26
姜萍初中数学课代表实锤姜萍造假,https://www.bilibili.com/video/BV1pS411N779/,战神ABCde互关,· 6-23,3922,1,00:38,2024/06/26
阿里放出姜萍决赛监考视频，有多少人欠她一个道歉？,https://www.bilibili.com/video/BV1sw4m1e7B3/,综艺娱乐官方,· 昨天,3.3万,0,01:21,2024/06/26
姜萍造假证据确凿,https://www.bilibili.com/video/BV18GgmeiEsS/,菩提老资,· 6-21,9731,0,00:41,2024/06/26
参赛选手要求阿里调查姜萍！女方三月份月考，数学仅51分,https://www.bilibili.com/video/BV1iE421N7YP/,金牌娱乐酱,· 6-23,4503,0,01:25,2024/06/26
姜萍：我用我的兴趣打败了你的专业[不失礼貌的微笑],https://www.bilibili.com/video/BV11Z421u77Y/,坤王信仰,· 6-14,28.9万,14,00:32,2024/06/26
同班同学得知姜萍竞赛全球12强很震惊：她不是只数学好，才考了年级第1,https://www.bilibili.com/video/BV1ym421V7aa/,star星视频,· 6-17,26.6万,76,00:41,2024/06/26
不是不爆，时候未到，疑似姜萍老师王闰秋准备自爆,https://www.bilibili.com/video/BV1zM4m1m7rH/,aboutqx4,· 6-23,5292,0,00:30,2024/06/26
姜萍笔记鉴定它来辣，大家理性吃瓜,https://www.bilibili.com/video/BV1CS411A7AH/,热门追踪后续,· 6-20,2.3万,1,01:56,2024/06/26
［半转运］论姜萍的真实数学水平（X;她是否被王闰秋利用了呢？（✓,https://www.bilibili.com/video/BV1omVLeAEJg/,TLA_Music,· 6-16,2.8万,3,08:59,2024/06/26
姜萍班主任,https://www.bilibili.com/video/BV1Nw4m1e7jw/,亚洲老大李景亮,· 6-23,10.5万,17,01:36,2024/06/26
「姜萍」决赛顺利完成，又有幺蛾子了❓联名请愿，却不公开姓名❓理性讨论,https://www.bilibili.com/video/BV1sS421o7mJ/,鱼C-小甲鱼,· 6-23,35.3万,165,00:36,2024/06/26
阿里数学竞赛组委会负责人「印卧涛」帮姜萍澄清了2个问题｜黑子们还说什么❓,https://www.bilibili.com/video/BV1LZ421M7vM/,鱼C论坛fishc-com-cn,· 昨天,4.8万,11,00:28,2024/06/26
最新实锤！姜萍创造出上帝等式！！,https://www.bilibili.com/video/BV1yogReUEUV/,深夜卷王丶,· 6-22,14.4万,58,01:21,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Sm42137Xb/,甄机坊,· 23小时前,11.3万,47,08:21,2024/06/26
达摩院终于放出消息了!姜萍决赛出题人曝光，比赛曾输给韦神，一个农村娃的开挂人生,https://www.bilibili.com/video/BV1fs421T79g/,是绅士汤呀,· 昨天,3310,0,01:44,2024/06/26
姜萍、王闰秋事件的预测。,https://www.bilibili.com/video/BV1xM4m1m7we/,戴彼岸,· 6-22,5684,0,02:38,2024/06/26
揭秘姜萍样板上的二分之正无穷，这算是石锤了吗，,https://www.bilibili.com/video/BV18S411N7yR/,热门追踪后续,· 6-19,5.4万,10,01:52,2024/06/26
姜萍事件豪赌500万的赵斌认‘’怂‘’了，姜萍加油，你是最棒的，希望你去浙大上暑假班碾压浙大数学天才为我们江苏争一口气！！,https://www.bilibili.com/video/BV1V1421k727/,热门追踪后续,· 昨天,1.9万,2,01:55,2024/06/26
方舟子“打假”姜萍，他大致提出了2点质疑，到底靠不靠谱？,https://www.bilibili.com/video/BV1Qx4y147Y5/,青哇阳光说太阳在,· 6-18,2万,37,01:11,2024/06/26
姜萍和江苏老师传出,https://www.bilibili.com/video/BV1W6421Z7j9/,法外狂徒张三的一天,· 6-21,1.8万,1,01:11,2024/06/26
姜萍到底有没有作弊？逐一分析（1）板书问题，西格玛写成除2,https://www.bilibili.com/video/BV1zi421a7Du/,文中老湿,· 6-22,7501,12,01:14,2024/06/26
姜萍事件彻底收尾！姜萍熟人匿名爆料！彻底结束这场闹剧,https://www.bilibili.com/video/BV1sJ4m1u7SH/,娱乐前线突击,· 昨天,6090,1,11:16,2024/06/26
姜萍是天才！！疑似姜萍父亲透露女儿轻松答卷，赵斌发文道歉了！！！,https://www.bilibili.com/video/BV1f4421Q7Qt/,是绅士汤呀,· 15小时前,3.4万,7,01:34,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV14J4m1u7ws/,综艺娱乐官方,· 3小时前,512,0,14:02,2024/06/26
姜萍事件逆天大赏,https://www.bilibili.com/video/BV11iggesEGk/,TLA_Music,· 6-20,6523,4,02:11,2024/06/26
姜萍恐怕会成宅男女神!众多男性幻想,https://www.bilibili.com/video/BV1ET421a7FS/,是绅士汤呀,· 6-22,9381,3,00:35,2024/06/26
姜萍实锤初赛作弊，成绩造假！闹剧结束！真相公布于众！世间再无中专天才，只剩少女姜萍。阿里数赛选手联名信,https://www.bilibili.com/video/BV1ty411q7xP/,甄机坊,· 6-24,1.9万,1,11:22,2024/06/26
姜萍事件疑点：一直低头写题，不用电脑LaTeX打字吗？,https://www.bilibili.com/video/BV1tkgte5EQA/,历史漫步驿站,· 6-19,2.1万,1,00:36,2024/06/26
姜萍事件，官方发出公告，真相大白,https://www.bilibili.com/video/BV11m421V7JL/,法外狂徒张三的一天,· 6-21,4.1万,43,05:37,2024/06/26
两大佬联合打假姜萍事件，闹大了！一个世界记忆冠军，另一个是知名硕士导师，人投当保外加500万！,https://www.bilibili.com/video/BV1qy411q7s4/,热门追踪后续,· 6-19,5.5万,9,01:08,2024/06/26
姜萍事件逆天大赏,https://www.bilibili.com/video/BV11iggesEGk/,TLA_Music,· 6-20,6523,4,02:11,2024/06/26
姜萍恐怕会成宅男女神!众多男性幻想,https://www.bilibili.com/video/BV1ET421a7FS/,是绅士汤呀,· 6-22,9381,3,00:35,2024/06/26
姜萍实锤初赛作弊，成绩造假！闹剧结束！真相公布于众！世间再无中专天才，只剩少女姜萍。阿里数赛选手联名信,https://www.bilibili.com/video/BV1ty411q7xP/,甄机坊,· 6-24,1.9万,1,11:22,2024/06/26
姜萍事件疑点：一直低头写题，不用电脑LaTeX打字吗？,https://www.bilibili.com/video/BV1tkgte5EQA/,历史漫步驿站,· 6-19,2.1万,1,00:36,2024/06/26
姜萍事件，官方发出公告，真相大白,https://www.bilibili.com/video/BV11m421V7JL/,法外狂徒张三的一天,· 6-21,4.1万,43,05:37,2024/06/26
两大佬联合打假姜萍事件，闹大了！一个世界记忆冠军，另一个是知名硕士导师，人投当保外加500万！,https://www.bilibili.com/video/BV1qy411q7s4/,热门追踪后续,· 6-19,5.5万,9,01:08,2024/06/26
姜萍，我们挺你，我们绝不诽谤,https://www.bilibili.com/video/BV13hgqeCEfA/,傅里叶の级数,· 6-23,2.1万,14,00:55,2024/06/26
如何看待凤凰网25号发布姜萍纪录片？,https://www.bilibili.com/video/BV1gi421v7vs/,热门追踪后续,· 昨天,1万,0,01:32,2024/06/26
姜萍跟踪事件：疑是又有大佬发出证据,https://www.bilibili.com/video/BV1YJ4m1T7wn/,熊2就要有熊样,· 6-20,2.1万,2,01:04,2024/06/26
姜萍走红后，家乡企业上门给姜父送钱，并感慨“你女儿很优秀”,https://www.bilibili.com/video/BV1XT421a7GJ/,掌闻视讯,· 6-16,17.9万,71,00:57,2024/06/26
厚厚的笔记，密密麻麻的文字，是姜萍的？还是老师王闰秋的？,https://www.bilibili.com/video/BV14y411z7Nd/,甄机坊,· 6-19,8039,6,01:43,2024/06/26
别聊姜萍了这次真的有中专上清华的,https://www.bilibili.com/video/BV1ey411z7y4/,孙吧记录者,· 6-23,5.9万,21,01:02,2024/06/26
姜萍父亲：我也是听别人说的 我闺女还有这本事,https://www.bilibili.com/video/BV1AZ421M7Bb/,珂君Kima,· 6-20,6.8万,4,00:29,2024/06/26
怎么评价姜萍事件？,https://www.bilibili.com/video/BV15bgUeyEwC/,大白小厨房,· 6-21,25.7万,18,00:51,2024/06/26
姜萍事件再升级，37人联名只有5去公开姓名，希望还姜萍一个真相,https://www.bilibili.com/video/BV15z421z7WC/,娱乐前线突击,· 昨天,1542,0,02:20,2024/06/26
&quot;姜萍独立完成决赛，微笑走出考场？&quot;,https://www.bilibili.com/video/BV1kT421a75S/,晴风村村民甲,· 昨天,4746,0,01:19,2024/06/26
举办方终于站队了！达摩院首席数学家出来作证了！！姜萍是真的有实力！！！,https://www.bilibili.com/video/BV1LH4y1w7Mf/,综艺娱乐官方,· 昨天,2.1万,0,00:47,2024/06/26
姜萍黑板上写的这道证明题，解题过程中有很多我们专升本数学学到的计算技巧，大家可以一起来做一做，熟练一下我们学习的内容。,https://www.bilibili.com/video/BV1Xb421H7FV/,微分天下专升本考研,· 6-20,12.9万,7,16:48,2024/06/26
姜萍一事引来清华下场，内网投票结果曝光，相信者只有2%,https://www.bilibili.com/video/BV1vz421z7xA/,青哇阳光说太阳在,· 6-22,2.3万,5,01:18,2024/06/26
马云还是不愿意放弃姜萍，这波热度阿里赚麻了,https://www.bilibili.com/video/BV1hJ4m1T72Z/,娱乐前线突击,· 6-24,2393,0,01:11,2024/06/26
500万人观看姜萍阿里比赛直播,https://www.bilibili.com/video/BV1rm42137wk/,资深de魔法师,· 6-23,1372,0,01:25,2024/06/26
《落魄宗门绝代天骄姜萍与最强散修何金银》,https://www.bilibili.com/video/BV1ry411B7KS/,每日快乐小分队,· 6-15,6.7万,21,01:42,2024/06/26
姜萍事件闹剧结束，实锤证据已出，始作俑者即将道歉！！！,https://www.bilibili.com/video/BV1nE421N7DU/,热门追踪后续,· 6-21,4.7万,6,03:29,2024/06/26
姜萍高等数学公式短袖已经上架!已售多件,https://www.bilibili.com/video/BV1Nn4y1X747/,亖亖亖亖龟,· 6-21,6463,4,00:56,2024/06/26
阿里数竞决赛现场曝光：360度无死角，姜萍根本不可能作弊,https://www.bilibili.com/video/BV19M4m1m7Z2/,金牌娱乐酱,· 6-22,12.6万,52,01:31,2024/06/26
彻底结束!!姜萍学校附近知情人士匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1ux4y187AG/,百米扬程,· 3小时前,446,1,08:39,2024/06/26
姜萍同班同学发声，证明姜萍完全有实力拿捏决赛,https://www.bilibili.com/video/BV1553qeEEF1/,沐沐微课,· 1小时前,717,0,00:17,2024/06/26
高端局：北大硕士对赌500万打假姜萍作弊！,https://www.bilibili.com/video/BV1Hw4m1e7GH/,热门追踪后续,· 6-19,7.6万,9,02:09,2024/06/26
达摩院终于回应了！首席数学家出来作证了！！姜萍是真的有实力！！,https://www.bilibili.com/video/BV1PT421Y7bU/,娱乐前线突击,· 昨天,3万,1,00:47,2024/06/26
姜萍事件最新瓜！阿里达摩院开始岁月史书？,https://www.bilibili.com/video/BV1o2gbe8EG8/,飞翔的餐蛋面,· 6-22,10.4万,113,00:40,2024/06/26
官方确认了，姜萍确实是数学天才,https://www.bilibili.com/video/BV19PVpe1ES6/,顾旦心理,· 6-17,14.2万,1,00:34,2024/06/26
学历越低越觉得姜萍是天才,https://www.bilibili.com/video/BV1rb421H7N1/,微风独奏曲,· 2小时前,255,0,00:27,2024/06/26
大型纪录片（赵斌质疑姜萍）持续为你播出,https://www.bilibili.com/video/BV15ngGe5Ek5/,小2纪录片,· 6-20,3.4万,1,01:06,2024/06/26
达摩院取消对姜萍“数学天才”称号，另一位负责人为姜萍做解释,https://www.bilibili.com/video/BV1NS421o7cq/,素素娱乐,· 昨天,1.9万,10,01:13,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Qr421F77Y/,娱乐前线突击,· 9小时前,2489,0,08:36,2024/06/26
打脸了！姜萍参加阿里全球数学竞赛决赛第5赛道应用与计算数学情况细节流出！,https://www.bilibili.com/video/BV1zb421H7Pa/,张德礼教授清北人,· 6-24,4.5万,4,13:02,2024/06/26
姜萍妈妈回应姜萍成绩造假作弊事件？,https://www.bilibili.com/video/BV1Bw4m1e76C/,超大型纪录片,· 6-22,3.2万,1,00:59,2024/06/26
姜萍老家现状，一人得道鸡犬升天,https://www.bilibili.com/video/BV1G3g4e2EFn/,社会记录仪,· 6-18,7.5万,11,00:20,2024/06/26
都别争啦！姜萍数学笔记！,https://www.bilibili.com/video/BV1PT421Y7tm/,匠大一亩三分地儿,· 6-21,9.4万,45,00:51,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1CS411A79c/,甄机坊,· 12小时前,7864,2,08:21,2024/06/26
最新消息！姜萍打脸赵斌！道歉来得太快！,https://www.bilibili.com/video/BV1vf421B7BS/,综艺娱乐官方,· 昨天,2万,4,02:08,2024/06/26
达摩院首席数学家出来作证了！！姜萍是真的有实力！！！,https://www.bilibili.com/video/BV11T421e7jH/,热门追踪后续,· 昨天,2.7万,6,00:44,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1Qr421F77Y/,娱乐前线突击,· 9小时前,2489,0,08:36,2024/06/26
姜萍老家现状，一人得道鸡犬升天,https://www.bilibili.com/video/BV1G3g4e2EFn/,社会记录仪,· 6-18,7.5万,11,00:20,2024/06/26
都别争啦！姜萍数学笔记！,https://www.bilibili.com/video/BV1PT421Y7tm/,匠大一亩三分地儿,· 6-21,9.4万,45,00:51,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1CS411A79c/,甄机坊,· 12小时前,7864,2,08:21,2024/06/26
最新消息！姜萍打脸赵斌！道歉来得太快！,https://www.bilibili.com/video/BV1vf421B7BS/,综艺娱乐官方,· 昨天,2万,4,02:08,2024/06/26
达摩院首席数学家出来作证了！！姜萍是真的有实力！！！,https://www.bilibili.com/video/BV11T421e7jH/,热门追踪后续,· 昨天,2.7万,6,00:44,2024/06/26
关于姜萍planB讨论，央视网要删视频了,https://www.bilibili.com/video/BV1yi421a75Y/,亖亖亖亖龟,· 6-21,2.4万,3,04:32,2024/06/26
现在看来猫腻重重，姜萍就读的中专校长接受央视采访，紧张到手扣椅子,https://www.bilibili.com/video/BV14s421T7mX/,是绅士汤呀,· 6-23,1902,0,00:45,2024/06/26
【姜萍事件】，如何看待姜萍把字母“Z”写成了文字“主”？,https://www.bilibili.com/video/BV1vi421e7YC/,第一热门跟踪,· 6-22,5.6万,5,01:18,2024/06/26
姜萍事件小传｜史记｜文言文,https://www.bilibili.com/video/BV1ri421a7hY/,大鲨鱼粮,· 6-19,9987,8,01:03,2024/06/26
姜萍事件逆天主持人：我有一个中学同学百米9秒！！！,https://www.bilibili.com/video/BV1B6421Z7wr/,娱乐前线突击,· 6-24,2430,4,05:34,2024/06/26
实拍姜萍笔记！！！让黑子们闭口吧,https://www.bilibili.com/video/BV1FS411P7Gq/,热门追踪后续,· 6-19,6.1万,16,00:57,2024/06/26
为什么会有那么多人呼吁浙大破格录取姜萍？,https://www.bilibili.com/video/BV19m421V7kj/,垫底辣妹喔,· 6-24,4.2万,41,01:00,2024/06/26
逆风输出：姜萍跟别人不一样,https://www.bilibili.com/video/BV1RmgBeDE4E/,锦绣Flora,· 6-23,2557,2,05:04,2024/06/26
质疑者尴尬啦，官方首次受理，姜萍事件马上真相大白！,https://www.bilibili.com/video/BV1si3qePEK5/,顾旦心理,· 37分钟前,695,0,00:13,2024/06/26
姜萍成绩单被扒出，数学仅有51分！,https://www.bilibili.com/video/BV1pJ4m1T7Zy/,分享一些有趣的事物,· 6-22,5.1万,12,00:45,2024/06/26
又有大V实锤姜萍，就连高斯来了都解释不清,https://www.bilibili.com/video/BV1UE421N7PU/,多一点葱,· 6-23,1.1万,8,01:23,2024/06/26
质疑姜萍造假而承诺500万的赵斌，其法律行为的效力分析,https://www.bilibili.com/video/BV1BtgrewEcB/,非讼时刻,· 6-23,2.1万,7,01:27,2024/06/26
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV1ZM4m1m7eX/,甄机坊,· 13小时前,1.2万,2,08:21,2024/06/26
数学天才姜萍的高燃混剪，看哭14亿中国人！,https://www.bilibili.com/video/BV1W1421r7iZ/,和美团拼了,· 6-23,6465,2,01:11,2024/06/26
姜萍美照露出第三天已有男网友求里番,https://www.bilibili.com/video/BV1qm42137Yx/,综艺娱乐官方,· 6-24,2475,0,00:43,2024/06/26
姜萍圆满参加决赛，狠狠地打了一大群喷子的脸,https://www.bilibili.com/video/BV1Vy411q7UN/,江阴大少爷很帅,· 6-23,7.1万,21,01:25,2024/06/26
阿里数学竞赛决赛曝光，360度无死角监控，37名选手联名举报姜萍,https://www.bilibili.com/video/BV1yVgrerEvR/,青简半卷书香气,· 6-23,8.3万,9,02:21,2024/06/26
同济大学原副校长对赌姜萍造假,https://www.bilibili.com/video/BV19n4y1X7Xq/,大界王肥条,· 6-23,1万,0,00:19,2024/06/26
真相了！姜萍老师王闰秋紧张的不得了！,https://www.bilibili.com/video/BV1sS411N7Gs/,匠大一亩三分地儿,· 6-24,2232,1,01:55,2024/06/26
官方认证了!达摩院首席数学家认可姜萍！！是真的有实力！！！,https://www.bilibili.com/video/BV1NZ421M7AX/,是绅士汤呀,· 昨天,3万,7,00:47,2024/06/26
阿里数学竞赛结束，同学曝姜萍笑嘻嘻走出考场无疲态，称前十稳了,https://www.bilibili.com/video/BV1Kn4y1X72J/,资源帝8娱乐,· 6-23,1.4万,5,01:01,2024/06/26
数学大佬质疑姜萍因人身威胁无奈放弃,https://www.bilibili.com/video/BV1UT421a7sy/,资深de魔法师,· 6-24,2937,0,01:34,2024/06/26
湖南版“姜萍”：从服装设计中专生到清华研究生的华丽转身,https://www.bilibili.com/video/BV12S411A7Ka/,高速小公鹿,· 6-20,2万,2,01:54,2024/06/26
赵斌道歉后，局势一面倒！姜萍如果成为网红，估计粉丝破亿,https://www.bilibili.com/video/BV1kJ4m1u72Y/,综艺娱乐官方,· 昨天,3.4万,0,01:01,2024/06/26
为什么姜萍无需质疑？,https://www.bilibili.com/video/BV1m33BeuETE/,米线山的小迷妹,· 3小时前,105,0,00:51,2024/06/26
我也和姜萍一样写成二分之啊？你们难道自己写原符号的时候不觉得难写吗,https://www.bilibili.com/video/BV1XJ4m1u7mP/,Artephs,· 6-20,8.7万,7,00:29,2024/06/26
【锐评】《 姜萍中举 》,https://www.bilibili.com/video/BV16r421F7uF/,要乐奈想吃抹茶芭菲,· 6-17,1.1万,1,01:55,2024/06/26
一句话助你判断阿里巴巴达摩院、王闰秋、姜萍同学是否涉嫌竞赛造假,https://www.bilibili.com/video/BV1DWggeYEkT/,博爱的坏蛋,· 6-20,1984,0,01:27,2024/06/26
最新爆料！姜萍是被当枪使了！她老师拿她账号用，这下站风口浪尖了,https://www.bilibili.com/video/BV1TZ421u7pD/,娱乐前线突击,· 6-23,4473,4,02:30,2024/06/26
逆天，偷偷看个电影发现三上老师都把∑写对了，姜萍说，‘’主不在乎 ‘’,https://www.bilibili.com/video/BV1fS421d7Z3/,是绅士汤呀,· 6-24,1654,0,01:04,2024/06/26
姜萍决赛结束，监控画面曝光?父亲现身敲钟，网友期待考个好成绩,https://www.bilibili.com/video/BV1am421V7nF/,是绅士汤呀,· 6-23,14.7万,23,01:11,2024/06/26
阿里达摩院数学竞赛组委会成员力挺姜萍,https://www.bilibili.com/video/BV1Qp3jeHEJS/,imrforever,· 6-24,4968,4,03:49,2024/06/26
姜萍父亲回访周飞董事长,https://www.bilibili.com/video/BV1gH3qeCE43/,塞壬歌谣,· 1小时前,145,0,00:26,2024/06/26
姜萍决赛成绩可能看不到了,https://www.bilibili.com/video/BV1273MeXE7y/,王三瓶短视频,· 3小时前,20,0,00:39,2024/06/26
姜萍被邀请参加浙大暑期夏令营,https://www.bilibili.com/video/BV1qb421H7iA/,不是步非烟,· 6-17,3.2万,1,01:02,2024/06/26
“数学天才”姜萍的浙大梦或许是命中注定？《萍圣巷》,https://www.bilibili.com/video/BV1iE421N7GS/,Hey-0,· 昨天,4.1万,14,00:19,2024/06/26
姜萍决赛结束，监控画面曝光?父亲现身敲钟，网友期待考个好成绩,https://www.bilibili.com/video/BV1am421V7nF/,是绅士汤呀,· 6-23,14.7万,23,01:11,2024/06/26
阿里达摩院数学竞赛组委会成员力挺姜萍,https://www.bilibili.com/video/BV1Qp3jeHEJS/,imrforever,· 6-24,4968,4,03:49,2024/06/26
姜萍父亲回访周飞董事长,https://www.bilibili.com/video/BV1gH3qeCE43/,塞壬歌谣,· 1小时前,145,0,00:26,2024/06/26
姜萍决赛成绩可能看不到了,https://www.bilibili.com/video/BV1273MeXE7y/,王三瓶短视频,· 3小时前,20,0,00:39,2024/06/26
姜萍被邀请参加浙大暑期夏令营,https://www.bilibili.com/video/BV1qb421H7iA/,不是步非烟,· 6-17,3.2万,1,01:02,2024/06/26
“数学天才”姜萍的浙大梦或许是命中注定？《萍圣巷》,https://www.bilibili.com/video/BV1iE421N7GS/,Hey-0,· 昨天,4.1万,14,00:19,2024/06/26
等姜萍公布成绩这一个月，将开启直播带货，可能在阿里巴巴，预计收益上亿,https://www.bilibili.com/video/BV1GJ4m1u7fe/,娱乐前线突击,· 6-24,2653,2,03:30,2024/06/26
姜萍决赛成绩：可能看不到了！,https://www.bilibili.com/video/BV1az421z7mf/,正哥说,· 6-24,8536,4,00:39,2024/06/26
500万人观看姜萍阿里决赛,https://www.bilibili.com/video/BV161421r7SN/,第一热门跟踪,· 6-23,10.2万,2,03:06,2024/06/26
【猫meme】自学？中专？17岁？30s看完姜萍有多厉害,https://www.bilibili.com/video/BV16z421b7Ep/,紧跟时事猫meme,· 6-14,9.5万,13,00:42,2024/06/26
姜萍造假实锤,https://www.bilibili.com/video/BV14pgSeqEn3/,不加糖的小马,· 6-21,1.5万,1,00:34,2024/06/26
通过姜萍决赛直播间评论区，看简中互联网有无思辨性。,https://www.bilibili.com/video/BV1JS421o7Mi/,辛芷蕾二儿子,· 6-22,2万,85,02:22,2024/06/26
姜萍实锤初赛作弊，成绩造假，目前参加了决赛，没想到小红书一位舔娱乐圈的人开始一本正经的胡说八道，还好评论区是和谐的。,https://www.bilibili.com/video/BV1h6421Z7xM/,甄机坊,· 6-22,1.9万,1,02:20,2024/06/26
姜萍校长对此事的回应 这无处安放的小手,https://www.bilibili.com/video/BV1Bf421B73N/,晚风之月,· 6-24,3898,2,00:56,2024/06/26
姜萍事件大结局！姜萍中专同学匿名爆料！彻底结束这场闹剧-,https://www.bilibili.com/video/BV1Ri421e7RK/,娱乐前线突击,· 昨天,4624,0,09:52,2024/06/26
姜萍究竟有没有作假？看中科院院士对她的18字评论，这才叫真实,https://www.bilibili.com/video/BV17S421d7L7/,资源帝8娱乐,· 6-24,4339,2,00:47,2024/06/26
姜萍还未得到500万，就已得到社会人士资助,https://www.bilibili.com/video/BV17M4m1m7Br/,是绅士汤呀,· 6-23,3056,0,00:40,2024/06/26
各路数学大神，不断在姜萍的笔记发现新定理！！！,https://www.bilibili.com/video/BV1NS421o73H/,是绅士汤呀,· 昨天,2316,4,01:52,2024/06/26
闹剧结束，终于有知道实情的人了，阿里决赛选手透露比赛情况，终于找到姜萍遭攻击原因,https://www.bilibili.com/video/BV11b421J75Z/,是绅士汤呀,· 昨天,2.4万,7,01:17,2024/06/26
姜萍同学其实是常春藤最想要的学生,https://www.bilibili.com/video/BV1YLVBeWEm8/,莎姐讲留学,· 6-16,1.8万,21,01:02,2024/06/26
姜萍决赛完去哪了？为什么一点消息没有？,https://www.bilibili.com/video/BV1Fy411B7cz/,娱乐前线突击,· 6-24,2102,0,01:26,2024/06/26
姜萍微笑走出考场，前10名稳了！,https://www.bilibili.com/video/BV1LagrebEp1/,沐沐微课,· 6-23,10.3万,26,00:26,2024/06/26
放开讨论姜萍，不删评论。,https://www.bilibili.com/video/BV19J4m1u7Ka/,传奇六代目水影长十郎,· 6-20,1896,0,05:38,2024/06/26
阿里数学竞赛第一名对姜萍火了的问题，有点不一样的看法,https://www.bilibili.com/video/BV14PVxeVEy8/,努力赵小瓜,· 6-14,15.3万,13,01:01,2024/06/26
姜萍实锤造假后，央视评论区现状,https://www.bilibili.com/video/BV1sb421p7TC/,亖亖亖亖龟,· 6-20,4.7万,5,03:39,2024/06/26
炸裂！决赛后阿里把姜萍作为周周报封面人物,https://www.bilibili.com/video/BV1r1421r72W/,影娱与我相随,· 6-24,1.3万,1,00:22,2024/06/26
我已道歉，姜萍事件豪赌500万的赵斌认‘’怂‘’了，姜萍加油，你是最棒的，希望你去浙大上暑假班碾压浙大数学天才为我们江苏争一口气！,https://www.bilibili.com/video/BV1Rw4m1Y753/,娱乐前线突击,· 昨天,4.3万,4,01:56,2024/06/26
五百万人观看姜萍决赛，啥也看不见,https://www.bilibili.com/video/BV1qr421F7TR/,亖亖亖亖龟,· 6-23,8.2万,6,00:33,2024/06/26
美好的涟水中专，姜萍的母校,https://www.bilibili.com/video/BV1fy411q7cp/,赣鄱视界,· 6-17,9.7万,7,00:15,2024/06/26
世界知名科学家，加州大学洛杉矶分校数学系印卧涛教授理性分析，姜萍根本没有作弊，质疑的人心理太阴暗了，令人痛心啊,https://www.bilibili.com/video/BV1RygfeVE87/,河洛说,· 昨天,1.7万,1,00:30,2024/06/26
